2024-08-20T15:19:51.368696+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1060397, actime: 1206573, lat: 37.84176254272461, lng: 108.80414581298828, height: 1572.0, yaw: -1.57013738155365, pitch: -5.4569682106375694e-11, roll: 0.0001009379921015352, angle: -1.57013738155365, crc: 0xff')
2024-08-20T15:19:51.374631+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1068981, actime: 1215388, lat: 37.762210845947266, lng: 108.7997055053711, height: 1622.0, yaw: -2.2338969707489014, pitch: 5.381298251450062e-08, roll: 0.0007159780361689627, angle: -2.2338969707489014, crc: 0xff')
2024-08-20T15:19:51.375428+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1060428, actime: 1206613, lat: 37.855262756347656, lng: 108.77224731445312, height: 1572.0, yaw: -1.5700544118881226, pitch: -5.820766091346741e-11, roll: -0.0004969465080648661, angle: -1.5700544118881226, crc: 0xff')
2024-08-20T15:19:51.376212+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1091003, actime: 1237312, lat: 37.750038146972656, lng: 108.80497741699219, height: 1522.0, yaw: -1.625300645828247, pitch: 1.862645149230957e-09, roll: 0.050450608134269714, angle: -1.6253007650375366, crc: 0xff')
2024-08-20T15:19:51.376984+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1091022, actime: 1237242, lat: 37.75069808959961, lng: 108.81700897216797, height: 1522.0, yaw: -1.6476516723632812, pitch: 6.51925802230835e-09, roll: -0.02549254335463047, angle: -1.6476515531539917, crc: 0xff')
2024-08-20T15:19:51.377758+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1003235, actime: 1149669, lat: 37.771080017089844, lng: 108.77362060546875, height: 1572.0, yaw: 1.5715107917785645, pitch: 6.275513442233205e-11, roll: -2.9011836886638775e-05, angle: 1.5715105533599854, crc: 0xff')
2024-08-20T15:19:51.378601+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1090975, actime: 1237286, lat: 37.75779724121094, lng: 108.82494354248047, height: 1522.0, yaw: -2.076394557952881, pitch: 4.260800778865814e-08, roll: -0.007291231770068407, angle: -2.076394557952881, crc: 0xff')
2024-08-20T15:19:51.379757+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 988574, actime: 1134735, lat: 37.71152114868164, lng: 108.78141784667969, height: 1672.0, yaw: 1.5725536346435547, pitch: 1.5279510989785194e-10, roll: 9.053383837454021e-05, angle: 1.5725533962249756, crc: 0xff')
2024-08-20T15:19:51.380933+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 940922, actime: 1087335, lat: 37.72467041015625, lng: 108.8303451538086, height: 1600.0, yaw: -2.4122185707092285, pitch: 6.705522537231445e-08, roll: -0.026349134743213654, angle: -2.4122185707092285, crc: 0xff')
2024-08-20T15:19:51.382102+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1091042, actime: 1237450, lat: 37.74953079223633, lng: 108.8308334350586, height: 1522.0, yaw: -2.678056240081787, pitch: 7.82310962677002e-08, roll: 0.07794872671365738, angle: -2.678056240081787, crc: 0xff')
2024-08-20T15:19:51.383048+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1091033, actime: 1237342, lat: 37.74921798706055, lng: 108.82310485839844, height: 1522.0, yaw: -2.2247416973114014, pitch: 5.4016709327697754e-08, roll: 0.0708315297961235, angle: -2.2247416973114014, crc: 0xff')
2024-08-20T15:19:51.383992+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1090974, actime: 1237297, lat: 37.75944519042969, lng: 108.80670928955078, height: 1522.0, yaw: -1.7397838830947876, pitch: 1.4668330550193787e-08, roll: 0.007664333563297987, angle: -1.7397841215133667, crc: 0xff')
2024-08-20T15:19:51.384963+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 988669, actime: 1135009, lat: 37.6845703125, lng: 108.7936782836914, height: 1672.0, yaw: 1.575844407081604, pitch: 4.411049303598702e-10, roll: 2.602817039587535e-05, angle: 1.5758445262908936, crc: 0xff')
2024-08-20T15:19:51.395128+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 988677, actime: 1135106, lat: 37.68043899536133, lng: 108.70198059082031, height: 1672.0, yaw: -1.438164234161377, pitch: -1.1874362826347351e-08, roll: 0.006312712095677853, angle: -1.438164472579956, crc: 0xff')
2024-08-20T15:19:51.402376+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1091012, actime: 1237257, lat: 37.74710464477539, lng: 108.82279968261719, height: 1522.0, yaw: 2.6196165084838867, pitch: 7.566995918750763e-08, roll: -0.006923489738255739, angle: 2.6196165084838867, crc: 0xff')
2024-08-20T15:19:51.410575+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1090943, actime: 1237304, lat: 37.76350402832031, lng: 108.81829071044922, height: 1522.0, yaw: -1.4741641283035278, pitch: -8.440110832452774e-09, roll: 0.0012206484097987413, angle: -1.4741642475128174, crc: 0xff')
2024-08-20T15:19:51.411548+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1090975, actime: 1237231, lat: 37.75921630859375, lng: 108.81368255615234, height: 1522.0, yaw: -1.6232093572616577, pitch: 4.627509042620659e-09, roll: 0.000914153119083494, angle: -1.6232091188430786, crc: 0xff')
2024-08-20T15:19:51.413106+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1090963, actime: 1237220, lat: 37.75476837158203, lng: 108.8116226196289, height: 1522.0, yaw: -1.4805009365081787, pitch: -7.876224117353559e-09, roll: 7.406726945191622e-05, angle: -1.4805008172988892, crc: 0xff')
2024-08-20T15:19:51.416178+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1060402, actime: 1206724, lat: 37.82833480834961, lng: 108.71377563476562, height: 1572.0, yaw: -1.5673705339431763, pitch: -3.128661774098873e-10, roll: 0.0001258704869542271, angle: -1.5673706531524658, crc: 0xff')
2024-08-20T15:19:51.417570+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 988577, actime: 1134869, lat: 37.70470428466797, lng: 108.82101440429688, height: 1672.0, yaw: -1.584036946296692, pitch: 1.3969838619232178e-09, roll: 0.003249360481277108, angle: -1.5840370655059814, crc: 0xff')
2024-08-20T15:19:51.418996+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 940910, actime: 1087352, lat: 37.80827713012695, lng: 108.83079528808594, height: 1600.0, yaw: 2.3092024326324463, pitch: 5.960464477539063e-08, roll: -0.026939373463392258, angle: 2.3092026710510254, crc: 0xff')
2024-08-20T15:19:51.420191+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1003258, actime: 1149726, lat: 37.76210021972656, lng: 108.7230224609375, height: 1572.0, yaw: -1.5691564083099365, pitch: -1.3096723705530167e-10, roll: -0.00025304604787379503, angle: -1.5691567659378052, crc: 0xff')
2024-08-20T15:19:51.421817+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1090959, actime: 1237402, lat: 37.750770568847656, lng: 108.82137298583984, height: 1522.0, yaw: -1.7986652851104736, pitch: 1.955777406692505e-08, roll: 0.02486344613134861, angle: -1.7986654043197632, crc: 0xff')
2024-08-20T15:19:51.423034+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1003284, actime: 1149736, lat: 37.7620964050293, lng: 108.81373596191406, height: 1572.0, yaw: -1.5672037601470947, pitch: -3.2741809263825417e-10, roll: 0.0001736013509798795, angle: -1.5672036409378052, crc: 0xff')
2024-08-20T15:19:51.424011+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1068956, actime: 1215355, lat: 37.771629333496094, lng: 108.77037048339844, height: 1622.0, yaw: 0.9080352187156677, pitch: -5.381298251450062e-08, roll: -0.00048310038982890546, angle: 0.9080352783203125, crc: 0xff')
2024-08-20T15:19:51.432601+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 988586, actime: 1134969, lat: 37.69132995605469, lng: 108.7457504272461, height: 1672.0, yaw: -1.5691285133361816, pitch: -1.5279510989785194e-10, roll: 0.0001628427125979215, angle: -1.5691285133361816, crc: 0xff')
2024-08-20T15:19:51.434448+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1068944, actime: 1215426, lat: 37.75865173339844, lng: 108.77630615234375, height: 1622.0, yaw: -0.9554334878921509, pitch: -5.0407834351062775e-08, roll: 0.0010858799796551466, angle: -0.9554334878921509, crc: 0xff')
2024-08-20T15:19:51.435763+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 988650, actime: 1134961, lat: 37.69807815551758, lng: 108.72676849365234, height: 1672.0, yaw: 1.5727890729904175, pitch: 1.673470251262188e-10, roll: 0.00014879886293783784, angle: 1.5727887153625488, crc: 0xff')
2024-08-20T15:19:51.438900+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1060362, actime: 1206706, lat: 37.82160186767578, lng: 108.71910095214844, height: 1572.0, yaw: 1.5729681253433228, pitch: 1.964508555829525e-10, roll: -0.00021149727399460971, angle: 1.5729680061340332, crc: 0xff')
2024-08-20T15:19:51.440931+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1060406, actime: 1206817, lat: 37.787864685058594, lng: 108.8100357055664, height: 1572.0, yaw: -1.5705292224884033, pitch: -2.1827872842550278e-11, roll: -0.00017767261306289583, angle: -1.5705294609069824, crc: 0xff')
2024-08-20T15:19:51.441899+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1060390, actime: 1206803, lat: 37.78793716430664, lng: 108.68765258789062, height: 1572.0, yaw: -1.5672235488891602, pitch: -3.128661774098873e-10, roll: 8.534053631592542e-05, angle: -1.5672236680984497, crc: 0xff')
2024-08-20T15:19:51.443291+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1060436, actime: 1206776, lat: 37.801353454589844, lng: 108.77802276611328, height: 1572.0, yaw: -1.5688470602035522, pitch: -1.673470251262188e-10, roll: 6.233595195226371e-05, angle: -1.5688471794128418, crc: 0xff')
2024-08-20T15:19:51.444284+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 1060347, actime: 1206714, lat: 37.84183883666992, lng: 108.68464660644531, height: 1572.0, yaw: -1.56832754611969, pitch: -2.1464074961841106e-10, roll: 3.4661032259464264e-05, angle: -1.5683274269104004, crc: 0xff')
2024-08-20T15:19:51.448528+0800 - __main__ - INFO - ('Receive data: ', 'start0: 0x55, start1: 0xaa, length: 41, id: 151, time: 988613, actime: 1134760, lat: 37.67781448364258, lng: 108.80095672607422, height: 1672.0, yaw: -1.5698939561843872, pitch: -5.820766091346741e-11, roll: 0.000623694562818855, angle: -1.5698939561843872, crc: 0xff')
